"MODEL","pp","psoe","piu","cs","erc","dl","pnv","bil","cc","PROV","SEATS","TIME","PERCENT"
2,4,0,0,0,0,0,0,0,0,"burgos",4,"2016-06-26 22:46:47",97.53
2,0,0,0,0,0,0,0,0,7,"santa cruz de tenerife",7,"2016-06-26 22:46:47",72.01
2,5,0,0,0,0,0,0,0,0,"huelva",5,"2016-06-26 22:46:47",97.31
2,5,0,0,0,0,0,0,0,0,"valladolid",5,"2016-06-26 22:46:47",98.98
2,4,0,0,0,0,0,0,0,0,"caceres",4,"2016-06-26 22:46:47",93.51
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"coruna, a",NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"araba-alava",NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alicante-alacant",NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"castellon-castello",NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"palmas, las",NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"valencia-valència",NA,NA,NA
